slot_id,day_of_week,start_time,end_time,slot_name
MON-0800,Monday,8:00,8:50,Slot-1
MON-0900,Monday,9:00,9:50,Slot-5
MON-1000,Monday,10:00,10:50,Slot-4
MON-1100,Monday,11:00,11:50,Slot-7
MON-1200,Monday,12:00,12:50,Slot-6
TUE-0800,Tuesday,8:00,8:50,Slot-3
TUE-0900,Tuesday,9:00,9:50,Slot-7
TUE-1000,Tuesday,10:00,10:50,Slot-2
TUE-1100,Tuesday,11:00,11:50,Slot-8
TUE-1200,Tuesday,12:00,12:50,Slot-5
WED-0800,Wednesday,8:00,8:50,Free-Slot
WED-0900,Wednesday,9:00,9:50,Slot-6
WED-1000,Wednesday,10:00,10:50,Slot-4
WED-1100,Wednesday,11:00,11:50,Slot-1
WED-1200,Wednesday,12:00,12:50,Slot-3
THU-0800,Thursday,8:00,8:50,Slot-8
THU-0900,Thursday,9:00,9:50,Slot-2
THU-1000,Thursday,10:00,10:50,Slot-5
THU-1100,Thursday,11:00,11:50,Slot-7
THU-1200,Thursday,12:00,12:50,Slot-6
FRI-0800,Friday,8:00,8:50,Slot-4
FRI-0900,Friday,9:00,9:50,Slot-1
FRI-1000,Friday,10:00,10:50,Slot-8
FRI-1100,Friday,11:00,11:50,Slot-2
FRI-1200,Friday,12:00,12:50,Slot-3
